"exp","Training","Testing","Analysis"
"exp001_12_IDVYEAR_LR","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4','HINTS_FDA','HINTS_FDA_2','HINTS_5c1','HINTS_5c2'","'HINTS_5c3'","LR"
"exp001_12_IDVYEAR_RFC","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4','HINTS_FDA','HINTS_FDA_2','HINTS_5c1','HINTS_5c2'","'HINTS_5c3'","RFC"
"exp001_12_IDVYEAR_FC","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4','HINTS_FDA','HINTS_FDA_2','HINTS_5c1','HINTS_5c2'","'HINTS_5c3'","FC"
"exp001_12_IDVYEAR_LSTM","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4','HINTS_FDA','HINTS_FDA_2','HINTS_5c1','HINTS_5c2'","'HINTS_5c3'","LSTM"
"exp001_12_IDVYEAR_GLV-LSTM","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4','HINTS_FDA','HINTS_FDA_2','HINTS_5c1','HINTS_5c2'","'HINTS_5c3'","GLV-LSTM"
"exp001_12_IDVYEAR_GLV-FC","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4','HINTS_FDA','HINTS_FDA_2','HINTS_5c1','HINTS_5c2'","'HINTS_5c3'","GLV-FC"
"exp002_01_DBASE_A_LR","'ANHCS'","'CHIS_COMPLETE'","LR"
"exp002_01_DBASE_A_RFC","'ANHCS'","'CHIS_COMPLETE'","RFC"
"exp002_01_DBASE_A_FC","'ANHCS'","'CHIS_COMPLETE'","FC"
"exp002_01_DBASE_A_LSTM","'ANHCS'","'CHIS_COMPLETE'","LSTM"
"exp002_01_DBASE_A_GLV-LSTM","'ANHCS'","'CHIS_COMPLETE'","GLV-LSTM"
"exp002_01_DBASE_A_GLV-FC","'ANHCS'","'CHIS_COMPLETE'","GLV-FC"
"exp002_02_DBASE_A_LR","'ANHCS'","'GSS'","LR"
"exp002_02_DBASE_A_RFC","'ANHCS'","'GSS'","RFC"
"exp002_02_DBASE_A_FC","'ANHCS'","'GSS'","FC"
"exp002_02_DBASE_A_LSTM","'ANHCS'","'GSS'","LSTM"
"exp002_02_DBASE_A_GLV-LSTM","'ANHCS'","'GSS'","GLV-LSTM"
"exp002_02_DBASE_A_GLV-FC","'ANHCS'","'GSS'","GLV-FC"
"exp002_03_DBASE_A_LR","'ANHCS'","'HINTS_COMPLETE'","LR"
"exp002_03_DBASE_A_RFC","'ANHCS'","'HINTS_COMPLETE'","RFC"
"exp002_03_DBASE_A_FC","'ANHCS'","'HINTS_COMPLETE'","FC"
"exp002_03_DBASE_A_LSTM","'ANHCS'","'HINTS_COMPLETE'","LSTM"
"exp002_03_DBASE_A_GLV-LSTM","'ANHCS'","'HINTS_COMPLETE'","GLV-LSTM"
"exp002_03_DBASE_A_GLV-FC","'ANHCS'","'HINTS_COMPLETE'","GLV-FC"
"exp002_04_DBASE_C_LR","'CHIS_COMPLETE'","'ANHCS'","LR"
"exp002_04_DBASE_C_RFC","'CHIS_COMPLETE'","'ANHCS'","RFC"
"exp002_04_DBASE_C_FC","'CHIS_COMPLETE'","'ANHCS'","FC"
"exp002_04_DBASE_C_LSTM","'CHIS_COMPLETE'","'ANHCS'","LSTM"
"exp002_04_DBASE_C_GLV-LSTM","'CHIS_COMPLETE'","'ANHCS'","GLV-LSTM"
"exp002_04_DBASE_C_GLV-FC","'CHIS_COMPLETE'","'ANHCS'","GLV-FC"
"exp002_05_DBASE_C_LR","'CHIS_COMPLETE'","'GSS'","LR"
"exp002_05_DBASE_C_RFC","'CHIS_COMPLETE'","'GSS'","RFC"
"exp002_05_DBASE_C_FC","'CHIS_COMPLETE'","'GSS'","FC"
"exp002_05_DBASE_C_LSTM","'CHIS_COMPLETE'","'GSS'","LSTM"
"exp002_05_DBASE_C_GLV-LSTM","'CHIS_COMPLETE'","'GSS'","GLV-LSTM"
"exp002_05_DBASE_C_GLV-FC","'CHIS_COMPLETE'","'GSS'","GLV-FC"
"exp002_06_DBASE_C_LR","'CHIS_COMPLETE'","'HINTS_COMPLETE'","LR"
"exp002_06_DBASE_C_RFC","'CHIS_COMPLETE'","'HINTS_COMPLETE'","RFC"
"exp002_06_DBASE_C_FC","'CHIS_COMPLETE'","'HINTS_COMPLETE'","FC"
"exp002_06_DBASE_C_LSTM","'CHIS_COMPLETE'","'HINTS_COMPLETE'","LSTM"
